起始日,解禁日,空代码,空名称,多代码,多名称,解禁月份
2017-12-25,2018-01-02,2346,柘中股份,2791,坚朗五金,201801
2017-12-25,2018-01-02,600871,石化油服,601088,中国神华,201801
2017-12-25,2018-01-02,2102,冠福股份,600567,山鹰纸业,201801
2017-12-25,2018-01-02,600751,天海投资,600270,外运发展,201801
2017-12-25,2018-01-02,600203,福日电子,600260,凯乐科技,201801
2017-12-25,2018-01-02,59,华锦股份,2002,鸿达兴业,201801
2017-12-25,2018-01-02,600550,保变电气,601126,四方股份,201801
2017-12-25,2018-01-02,300306,远方信息,300259,新天科技,201801
2017-12-25,2018-01-02,636,风华高科,600651,飞乐音响,201801
2017-12-25,2018-01-02,2131,利欧股份,600959,江苏有线,201801
2017-12-25,2018-01-02,300410,正业科技,600651,飞乐音响,201801
2017-12-25,2018-01-02,603636,南威软件,2528,英飞拓,201801
2017-12-25,2018-01-02,603889,新澳股份,600177,雅 戈 尔,201801
2017-12-26,2018-01-03,989,九 芝 堂,78,海王生物,201801
2017-12-26,2018-01-03,601375,中原证券,563,陕国投Ａ,201801
2017-12-26,2018-01-03,603186,华正新材,600651,飞乐音响,201801
2017-12-27,2018-01-04,600699,均胜电子,600104,上汽集团,201801
2017-12-27,2018-01-04,2722,金轮股份,300259,新天科技,201801
2017-12-27,2018-01-04,603444,吉比特  ,600959,江苏有线,201801
2017-12-28,2018-01-05,2680,长生生物,78,海王生物,201801
2017-12-28,2018-01-05,603035,常熟汽饰,600104,上汽集团,201801
2017-12-29,2018-01-08,600258,首旅酒店,978,桂林旅游,201801
2017-12-29,2018-01-08,600582,天地科技,2564,天沃科技,201801
2017-12-29,2018-01-08,875,吉电股份,2039,黔源电力,201801
2017-12-29,2018-01-08,2349,精华制药,600572,康 恩 贝,201801
2017-12-29,2018-01-08,426,兴业矿业,600219,南山铝业,201801
2017-12-29,2018-01-08,2093,国脉科技,600260,凯乐科技,201801
2017-12-29,2018-01-08,601618,中国中冶,2051,中工国际,201801
2017-12-29,2018-01-08,300249,依米康,333,美的集团,201801
2018-01-02,2018-01-09,2200,云投生态,2051,中工国际,201801
2018-01-02,2018-01-09,603877,太平鸟  ,600177,雅 戈 尔,201801
2018-01-03,2018-01-10,2157,正邦科技,876,新 希 望,201801
2018-01-03,2018-01-10,587,金洲慈航,600567,山鹰纸业,201801
2018-01-03,2018-01-10,2840,华统股份,600519,贵州茅台,201801
2018-01-04,2018-01-11,2217,合力泰,2384,东山精密,201801
2018-01-04,2018-01-11,600070,浙江富润,600177,雅 戈 尔,201801
2018-01-04,2018-01-11,300590,移为通信,600260,凯乐科技,201801
2018-01-05,2018-01-12,2268,卫 士 通,300182,捷成股份,201801
2018-01-05,2018-01-12,2596,海南瑞泽,600586,金晶科技,201801
2018-01-05,2018-01-12,2824,和胜股份,600219,南山铝业,201801
2018-01-08,2018-01-15,2280,联络互动,300182,捷成股份,201801
2018-01-08,2018-01-15,300593,新雷能,600885,宏发股份,201801
2018-01-09,2018-01-16,909,数源科技,600094,大名城,201801
2018-01-09,2018-01-16,600210,紫江企业,600567,山鹰纸业,201801
2018-01-09,2018-01-16,617,中油资本,300259,新天科技,201801
2018-01-10,2018-01-17,607,华媒控股,2354,天神娱乐,201801
2018-01-10,2018-01-17,603668,天马科技,876,新 希 望,201801
2018-01-10,2018-01-17,300595,欧普康视,600572,康 恩 贝,201801
2018-01-11,2018-01-18,2250,联化科技,300082,奥克股份,201801
2018-01-12,2018-01-19,600339,中油工程,600508,上海能源,201801
2018-01-12,2018-01-19,2040,南 京 港,600350,山东高速,201801
2018-01-12,2018-01-19,300099,精准信息,2564,天沃科技,201801
2018-01-15,2018-01-22,2171,楚江新材,2203,海亮股份,201801
2018-01-15,2018-01-22,600390,五矿资本,987,越秀金控,201801
2018-01-15,2018-01-22,600373,中文传媒,600959,江苏有线,201801
2018-01-15,2018-01-22,601021,春秋航空,600350,山东高速,201801
2018-01-15,2018-01-22,601069,西部黄金,2203,海亮股份,201801
2018-01-15,2018-01-22,603788,宁波高发,30,富奥股份,201801
2018-01-15,2018-01-22,2843,泰嘉股份,2564,天沃科技,201801
2018-01-15,2018-01-22,603037,凯众股份,30,富奥股份,201801
2018-01-15,2018-01-22,300596,利安隆,300200,高盟新材,201801
2018-01-15,2018-01-22,601015,陕西黑猫,600508,上海能源,201801
2018-01-16,2018-01-23,2352,顺丰控股,600350,山东高速,201801
2018-01-16,2018-01-23,68,华控赛格,2039,黔源电力,201801
2018-01-16,2018-01-23,300592,华凯创意,2051,中工国际,201801
2018-01-16,2018-01-23,603600,永艺股份,600567,山鹰纸业,201801
2018-01-16,2018-01-23,601881,中国银河,987,越秀金控,201801
2018-01-17,2018-01-24,2212,南洋股份,300124,汇川技术,201801
2018-01-17,2018-01-24,2445,中南文化,2354,天神娱乐,201801
2018-01-17,2018-01-24,2839,张家港行,601128,常熟银行,201801
2018-01-18,2018-01-25,862,银星能源,2039,黔源电力,201801
2018-01-18,2018-01-25,665,湖北广电,2354,天神娱乐,201801
2018-01-19,2018-01-26,767,漳泽电力,2039,黔源电力,201801
2018-01-19,2018-01-26,2125,湘潭电化,2221,东华能源,201801
2018-01-19,2018-01-26,603686,龙马环卫,2564,天沃科技,201801
2018-01-22,2018-01-29,300266,兴源环境,2444,巨星科技,201801
2018-01-22,2018-01-29,603698,航天工程,600820,隧道股份,201801
2018-01-22,2018-01-29,603899,晨光文具,600978,宜华生活,201801
2018-01-22,2018-01-29,603558,健盛集团,600177,雅 戈 尔,201801
2018-01-22,2018-01-29,300603,立昂技术,600260,凯乐科技,201801
2018-01-24,2018-01-31,519,中兵红箭,2608,江苏国信,201801
2018-01-24,2018-01-31,300598,诚迈科技,2528,英飞拓,201801
2018-01-26,2018-02-02,2624,完美世界,2354,天神娱乐,201802
2018-01-29,2018-02-05,600116,三峡水利,2039,黔源电力,201802
2018-01-31,2018-02-07,300601,康泰生物,600572,康 恩 贝,201802
2018-02-01,2018-02-08,600522,中天科技,300250,初灵信息,201802
2018-02-01,2018-02-08,600682,南京新百,600739,辽宁成大,201802
2018-02-01,2018-02-08,300104,乐视网,2354,天神娱乐,201802
2018-02-01,2018-02-08,603881,数据港  ,2528,英飞拓,201802
2018-02-02,2018-02-09,600967,内蒙一机,2608,江苏国信,201802
2018-02-02,2018-02-09,600225,*ST松江,600565,迪马股份,201802
2018-02-05,2018-02-12,600277,亿利洁能,902,新洋丰,201802
2018-02-06,2018-02-13,2431,棕榈股份,600820,隧道股份,201802
2018-02-07,2018-02-14,300199,翰宇药业,600572,康 恩 贝,201802
2018-02-07,2018-02-14,166,申万宏源,600643,爱建集团,201802
2018-02-08,2018-02-22,600061,国投资本,600643,爱建集团,201802
2018-02-08,2018-02-22,600162,香江控股,600565,迪马股份,201802
2018-02-08,2018-02-22,2114,罗平锌电,600219,南山铝业,201802
2018-02-08,2018-02-22,601877,正泰电器,2202,金风科技,201802
2018-02-08,2018-02-22,600879,航天电子,2608,江苏国信,201802
2018-02-08,2018-02-22,931,中 关 村,2018,华信国际,201802
2018-02-08,2018-02-22,601212,白银有色,600219,南山铝业,201802
2018-02-08,2018-02-22,2741,光华科技,902,新洋丰,201802
2018-02-08,2018-02-22,2849,威星智能,2564,天沃科技,201802
2018-02-08,2018-02-22,300394,天孚通信,603160,汇顶科技,201802
2018-02-08,2018-02-22,603345,安井食品,895,双汇发展,201802
2018-02-08,2018-02-22,600939,重庆建工,600820,隧道股份,201802
2018-02-08,2018-02-22,2746,仙坛股份,600201,生物股份,201802
2018-02-08,2018-02-22,603618,杭电股份,300308,中际旭创,201802
2018-02-08,2018-02-22,300421,力星股份,2564,天沃科技,201802
2018-02-12,2018-02-26,2501,利源精制,600219,南山铝业,201802
2018-02-12,2018-02-26,600100,同方股份,977,浪潮信息,201802
2018-02-12,2018-02-26,100,TCL 集团,333,美的集团,201802
2018-02-12,2018-02-26,2589,瑞康医药,600252,中恒集团,201802
2018-02-12,2018-02-26,2547,春兴精工,600651,飞乐音响,201802
2018-02-12,2018-02-26,600392,盛和资源,600219,南山铝业,201802
2018-02-12,2018-02-26,2438,江苏神通,2564,天沃科技,201802
2018-02-12,2018-02-26,603828,柯利达  ,600820,隧道股份,201802
2018-02-12,2018-02-26,601198,东兴证券,563,陕国投Ａ,201802
2018-02-12,2018-02-26,603118,共进股份,600293,三峡新材,201802
2018-02-13,2018-02-27,603969,银龙股份,2564,天沃科技,201802
2018-02-14,2018-02-28,2091,江苏国泰,600655,豫园股份,201802
2018-02-14,2018-02-28,8,神州高铁,2444,巨星科技,201802
2018-02-14,2018-02-28,600136,当代明诚,300269,联建光电,201802
2018-02-22,2018-03-01,300608,思特奇,2528,英飞拓,201803
2018-02-23,2018-03-02,600249,两 面 针,2221,东华能源,201803
2018-02-23,2018-03-02,885,同力水泥,600586,金晶科技,201803
2018-02-23,2018-03-02,2364,中恒电气,601222,林洋能源,201803
2018-02-23,2018-03-02,2686,亿利达,2564,天沃科技,201803
2018-02-23,2018-03-02,600283,钱江水利,2039,黔源电力,201803
2018-02-23,2018-03-02,603997,继峰股份,2283,天润曲轴,201803
2018-02-23,2018-03-02,300609,汇纳科技,2195,二三四五,201803
2018-02-26,2018-03-05,600433,冠豪高新,600978,宜华生活,201803
2018-02-26,2018-03-05,300427,红相电力,601222,林洋能源,201803
2018-02-26,2018-03-05,603015,弘讯科技,601222,林洋能源,201803
2018-02-28,2018-03-07,421,南京公用,2039,黔源电力,201803
2018-02-28,2018-03-07,600640,号百控股,601801,皖新传媒,201803
2018-03-01,2018-03-08,603991,至正股份,2221,东华能源,201803
2018-03-02,2018-03-09,2681,奋达科技,333,美的集团,201803
2018-03-02,2018-03-09,2279,久其软件,2152,广电运通,201803
2018-03-05,2018-03-12,2515,金字火腿,600519,贵州茅台,201803
2018-03-05,2018-03-12,2076,雪 莱 特,600651,飞乐音响,201803
2018-03-05,2018-03-12,601111,中国国航,601006,大秦铁路,201803
2018-03-05,2018-03-12,603955,大千生态,600820,隧道股份,201803
2018-03-05,2018-03-12,300618,寒锐钴业,2203,海亮股份,201803
2018-03-06,2018-03-13,595,*ST宝实,2564,天沃科技,201803
2018-03-06,2018-03-13,2102,冠福股份,600572,康 恩 贝,201803
2018-03-07,2018-03-14,600321,正源股份,12,南  玻Ａ,201803
2018-03-07,2018-03-14,2643,万润股份,2002,鸿达兴业,201803
2018-03-07,2018-03-14,2745,木林森,600651,飞乐音响,201803
2018-03-07,2018-03-14,603903,中持股份,2039,黔源电力,201803
2018-03-08,2018-03-15,603811,诚意药业,600572,康 恩 贝,201803
2018-03-09,2018-03-16,2124,天邦股份,600438,通威股份,201803
2018-03-09,2018-03-16,2436,兴森科技,600651,飞乐音响,201803
2018-03-12,2018-03-19,2502,骅威文化,601999,出版传媒,201803
2018-03-12,2018-03-19,875,吉电股份,791,甘肃电投,201803
2018-03-12,2018-03-19,603517,绝味食品,600519,贵州茅台,201803
2018-03-12,2018-03-19,603268,松发股份,587,金洲慈航,201803
2018-03-12,2018-03-19,603519,立霸股份,418,小天鹅Ａ,201803
2018-03-13,2018-03-20,2749,国光股份,2002,鸿达兴业,201803
2018-03-13,2018-03-20,2748,世龙实业,2002,鸿达兴业,201803
2018-03-13,2018-03-20,2747,埃斯顿,601222,林洋能源,201803
2018-03-13,2018-03-20,300626,华瑞股份,601222,林洋能源,201803
2018-03-13,2018-03-20,603158,腾龙股份,338,潍柴动力,201803
2018-03-14,2018-03-21,2352,顺丰控股,601518,吉林高速,201803
2018-03-14,2018-03-21,2603,以岭药业,600572,康 恩 贝,201803
2018-03-14,2018-03-21,603030,全筑股份,600820,隧道股份,201803
2018-03-15,2018-03-22,601717,郑煤机  ,2444,巨星科技,201803
2018-03-16,2018-03-23,2042,华孚时尚,2503,搜于特,201803
2018-03-16,2018-03-23,300631,久吾高科,2039,黔源电力,201803
2018-03-16,2018-03-23,300432,富临精工,338,潍柴动力,201803
2018-03-19,2018-03-26,600381,青海春天,600519,贵州茅台,201803
2018-03-19,2018-03-26,806,银河生物,2534,杭锅股份,201803
2018-03-19,2018-03-26,25,特  力Ａ,338,潍柴动力,201803
2018-03-19,2018-03-26,600352,浙江龙盛,600688,上海石化,201803
2018-03-19,2018-03-26,603338,浙江鼎力,2444,巨星科技,201803
2018-03-19,2018-03-26,603869,北部湾旅,603099,长白山  ,201803
2018-03-19,2018-03-26,603133,碳元科技,2002,鸿达兴业,201803
2018-03-20,2018-03-27,600528,中铁工业,2051,中工国际,201803
2018-03-21,2018-03-28,300438,鹏辉能源,600651,飞乐音响,201803
2018-03-21,2018-03-28,300235,方直科技,21,深科技,201803
2018-03-21,2018-03-28,300338,开元股份,2444,巨星科技,201803
2018-03-21,2018-03-28,300630,普利制药,600572,康 恩 贝,201803
2018-03-21,2018-03-28,603833,欧派家居,587,金洲慈航,201803
2018-03-21,2018-03-28,603717,天域生态,2051,中工国际,201803
2018-03-22,2018-03-29,601228,广州港  ,601518,吉林高速,201803
2018-03-23,2018-03-30,2682,龙洲股份,338,潍柴动力,201803
2018-03-23,2018-03-30,2320,海峡股份,600057,象屿股份,201803
2018-03-26,2018-04-02,600466,蓝光发展,600565,迪马股份,201804
2018-03-26,2018-04-02,600693,东百集团,600655,豫园股份,201804
2018-03-26,2018-04-02,601933,永辉超市,600755,厦门国贸,201804
2018-03-26,2018-04-02,2102,冠福股份,603567,珍宝岛  ,201804
2018-03-26,2018-04-02,2705,新宝股份,333,美的集团,201804
2018-03-26,2018-04-02,601567,三星医疗,601908,京运通  ,201804
2018-03-26,2018-04-02,2707,众信旅游,603099,长白山  ,201804
2018-03-26,2018-04-02,2660,茂硕电源,300219,鸿利智汇,201804
2018-03-27,2018-04-03,600079,人福医药,600572,康 恩 贝,201804
2018-03-29,2018-04-09,2418,康盛股份,333,美的集团,201804
2018-03-29,2018-04-09,600685,中船防务,2013,中航机电,201804
2018-03-29,2018-04-09,2061,浙江交科,600409,三友化工,201804
2018-03-29,2018-04-09,935,四川双马,12,南  玻Ａ,201804
2018-03-29,2018-04-09,2719,麦趣尔,600519,贵州茅台,201804
2018-03-29,2018-04-09,600578,京能电力,600803,新奥股份,201804
2018-03-29,2018-04-09,2155,湖南黄金,612,焦作万方,201804
2018-03-29,2018-04-09,778,新兴铸管,898,鞍钢股份,201804
2018-03-29,2018-04-09,300418,昆仑万维,802,北京文化,201804
2018-03-29,2018-04-09,300043,星辉娱乐,802,北京文化,201804
2018-03-29,2018-04-09,300633,开立医疗,603567,珍宝岛  ,201804
2018-03-29,2018-04-09,603385,惠达卫浴,2078,太阳纸业,201804
2018-03-30,2018-04-10,603078,江化微  ,600409,三友化工,201804
2018-04-03,2018-04-12,601366,利群股份,2419,天虹股份,201804
2018-04-03,2018-04-12,2860,星帅尔,600619,海立股份,201804
2018-04-03,2018-04-12,300637,扬帆新材,600409,三友化工,201804
2018-04-03,2018-04-12,300639,凯普生物,600572,康 恩 贝,201804
2018-04-04,2018-04-13,2554,惠博普,552,靖远煤电,201804
2018-04-04,2018-04-13,2861,瀛通通讯,600651,飞乐音响,201804
2018-04-09,2018-04-16,600526,菲达环保,2444,巨星科技,201804
2018-04-09,2018-04-16,600063,皖维高新,600409,三友化工,201804
2018-04-09,2018-04-16,603050,科林电气,601908,京运通  ,201804
2018-04-10,2018-04-17,2585,双星新材,2078,太阳纸业,201804
2018-04-10,2018-04-17,2766,索菱股份,300033,同花顺,201804
2018-04-11,2018-04-18,2354,天神娱乐,802,北京文化,201804
